gRNA_length,PAM,gc_content,cleavage_efficiency,off_target_probability,immunogenicity,binding_affinity,tcell_recognition,exposure_score,fitness_score
21,CGG,0.62,0.82,0.28,0.22,0.74,0.5,0.7,-0.18
17,NGG,0.58,0.82,0.13,0.33,0.47,0.71,0.59,-0.35
21,TGG,0.6,0.87,0.22,0.33,0.6,0.76,0.67,-0.44
21,NGG,0.73,0.83,0.09,0.54,0.52,0.63,0.75,-0.43
18,CGG,0.72,0.8,0.12,0.59,0.72,0.74,0.67,-0.65
19,CGG,0.64,0.76,0.07,0.21,0.51,0.69,0.55,-0.21
21,TGG,0.53,0.87,0.17,0.32,0.63,0.64,0.76,-0.26
23,NAG,0.55,0.75,0.13,0.28,0.69,0.65,0.57,-0.31
17,CGG,0.66,0.88,0.05,0.43,0.66,0.57,0.52,-0.17
21,NGG,0.67,0.72,0.12,0.41,0.88,0.57,0.78,-0.38
23,TGG,0.68,0.7,0.03,0.31,0.68,0.54,0.66,-0.18
17,TGG,0.75,0.75,0.14,0.31,0.69,0.67,0.7,-0.37
20,CGG,0.41,0.94,0.1,0.58,0.87,0.77,0.78,-0.51
22,TGG,0.76,0.77,0.2,0.47,0.7,0.79,0.55,-0.69
22,CGG,0.44,0.94,0.2,0.55,0.7,0.7,0.65,-0.51
24,NGG,0.48,0.72,0.25,0.48,0.78,0.77,0.74,-0.78
18,NGG,0.55,0.89,0.15,0.58,0.42,0.79,0.65,-0.63
22,TGG,0.46,0.73,0.04,0.31,0.72,0.6,0.7,-0.22
19,TGG,0.68,0.73,0.04,0.32,0.56,0.74,0.53,-0.37
18,CGG,0.59,0.79,0.07,0.34,0.57,0.7,0.79,-0.32
22,NGG,0.78,0.83,0.28,0.59,0.9,0.76,0.56,-0.8
21,CGG,0.65,0.85,0.13,0.46,0.56,0.58,0.58,-0.32
21,CGG,0.52,0.93,0.13,0.28,0.48,0.56,0.64,-0.04
17,NAG,0.54,0.81,0.12,0.56,0.9,0.55,0.75,-0.42
17,CGG,0.58,0.76,0.21,0.45,0.73,0.53,0.66,-0.43
23,NAG,0.7,0.79,0.04,0.57,0.5,0.65,0.79,-0.47
22,NGG,0.45,0.79,0.19,0.6,0.52,0.66,0.55,-0.66
23,CGG,0.58,0.81,0.11,0.57,0.49,0.63,0.66,-0.5
23,NAG,0.49,0.82,0.06,0.42,0.71,0.56,0.77,-0.22
23,NGG,0.69,0.88,0.11,0.4,0.48,0.77,0.62,-0.4
19,NAG,0.63,0.89,0.24,0.39,0.42,0.54,0.52,-0.28
22,CGG,0.54,0.74,0.01,0.53,0.8,0.65,0.55,-0.45
18,NGG,0.62,0.89,0.01,0.29,0.68,0.63,0.63,-0.04
22,NGG,0.57,0.84,0.29,0.59,0.54,0.61,0.5,-0.65
21,TGG,0.44,0.79,0.05,0.55,0.55,0.69,0.62,-0.5
19,NAG,0.41,0.92,0.1,0.43,0.77,0.79,0.54,-0.4
24,CGG,0.41,0.84,0.15,0.51,0.63,0.71,0.57,-0.53
19,NGG,0.49,0.77,0.25,0.56,0.5,0.73,0.63,-0.77
21,NGG,0.54,0.82,0.26,0.5,0.81,0.59,0.57,-0.53
17,TGG,0.76,0.75,0.05,0.33,0.59,0.6,0.79,-0.23
24,NGG,0.43,0.93,0.26,0.52,0.61,0.73,0.55,-0.58
17,NAG,0.78,0.71,0.08,0.5,0.44,0.69,0.64,-0.56
22,NGG,0.53,0.86,0.2,0.52,0.42,0.62,0.6,-0.48
21,TGG,0.76,0.72,0.29,0.21,0.5,0.71,0.78,-0.49
24,NGG,0.57,0.75,0.12,0.42,0.45,0.58,0.5,-0.37
21,CGG,0.43,0.86,0.15,0.47,0.56,0.71,0.8,-0.47
17,NGG,0.44,0.86,0.26,0.35,0.43,0.56,0.58,-0.31
21,TGG,0.53,0.76,0.22,0.38,0.46,0.77,0.8,-0.61
23,TGG,0.55,0.94,0.16,0.22,0.53,0.78,0.79,-0.22
19,TGG,0.72,0.85,0.16,0.42,0.46,0.64,0.66,-0.37
17,NAG,0.54,0.9,0.04,0.35,0.47,0.77,0.55,-0.26
23,CGG,0.44,0.79,0.27,0.35,0.72,0.69,0.77,-0.52
19,NGG,0.64,0.81,0.28,0.52,0.53,0.66,0.72,-0.65
22,NAG,0.62,0.76,0.11,0.35,0.85,0.55,0.75,-0.25
19,NAG,0.48,0.92,0.01,0.44,0.73,0.52,0.55,-0.05
20,NAG,0.79,0.94,0.08,0.6,0.49,0.61,0.52,-0.35
18,NAG,0.4,0.93,0.14,0.45,0.68,0.79,0.54,-0.45
17,NGG,0.78,0.78,0.12,0.38,0.55,0.59,0.55,-0.31
20,NAG,0.78,0.75,0.1,0.48,0.49,0.59,0.61,-0.42
23,TGG,0.74,0.94,0.26,0.28,0.46,0.7,0.77,-0.3
18,NGG,0.79,0.74,0.27,0.33,0.65,0.57,0.54,-0.43
22,CGG,0.47,0.92,0.19,0.21,0.52,0.68,0.7,-0.16
24,TGG,0.45,0.79,0.07,0.24,0.86,0.75,0.64,-0.27
24,NGG,0.76,0.79,0.17,0.43,0.87,0.73,0.77,-0.54
17,NGG,0.75,0.88,0.15,0.4,0.66,0.5,0.8,-0.17
20,NAG,0.64,0.92,0.23,0.52,0.75,0.54,0.63,-0.37
23,CGG,0.59,0.75,0.26,0.46,0.63,0.77,0.8,-0.74
21,NGG,0.67,0.91,0.2,0.36,0.77,0.51,0.71,-0.16
18,TGG,0.61,0.77,0.08,0.2,0.77,0.61,0.75,-0.12
21,CGG,0.48,0.8,0.3,0.43,0.69,0.6,0.59,-0.53
22,NGG,0.46,0.73,0.27,0.52,0.85,0.62,0.79,-0.68
22,TGG,0.73,0.84,0.29,0.25,0.56,0.64,0.77,-0.34
24,NAG,0.43,0.93,0.19,0.28,0.86,0.76,0.63,-0.3
23,NGG,0.55,0.95,0.19,0.49,0.88,0.78,0.67,-0.51
22,TGG,0.76,0.74,0.05,0.41,0.65,0.53,0.66,-0.25
24,TGG,0.41,0.75,0.08,0.49,0.42,0.54,0.73,-0.36
22,NGG,0.72,0.74,0.01,0.58,0.61,0.76,0.58,-0.61
20,CGG,0.43,0.85,0.2,0.59,0.42,0.67,0.59,-0.61
18,NAG,0.77,0.75,0.1,0.3,0.65,0.51,0.69,-0.16
22,NAG,0.73,0.74,0.03,0.51,0.64,0.68,0.71,-0.48
19,NAG,0.68,0.82,0.19,0.52,0.75,0.61,0.74,-0.5
21,NGG,0.68,0.9,0.07,0.39,0.66,0.77,0.59,-0.33
23,NAG,0.46,0.77,0.27,0.36,0.69,0.53,0.67,-0.39
23,TGG,0.65,0.87,0.16,0.48,0.55,0.53,0.63,-0.3
18,NAG,0.69,0.82,0.15,0.53,0.83,0.61,0.53,-0.47
21,NAG,0.69,0.9,0.22,0.44,0.62,0.58,0.55,-0.34
24,TGG,0.75,0.77,0.29,0.53,0.56,0.73,0.59,-0.78
21,NGG,0.48,0.77,0.05,0.32,0.6,0.76,0.54,-0.36
23,CGG,0.41,0.78,0.11,0.4,0.63,0.53,0.51,-0.26
17,CGG,0.51,0.87,0.29,0.39,0.85,0.62,0.77,-0.43
23,NAG,0.74,0.76,0.2,0.54,0.56,0.73,0.51,-0.71
23,CGG,0.47,0.88,0.13,0.42,0.74,0.73,0.66,-0.4
17,TGG,0.67,0.87,0.05,0.23,0.42,0.68,0.6,-0.09
23,CGG,0.69,0.85,0.06,0.5,0.47,0.52,0.62,-0.23
24,CGG,0.6,0.88,0.03,0.38,0.86,0.6,0.75,-0.13
20,CGG,0.5,0.75,0.18,0.46,0.41,0.59,0.73,-0.48
19,CGG,0.54,0.73,0.23,0.55,0.56,0.56,0.52,-0.61
18,CGG,0.74,0.91,0.01,0.39,0.56,0.52,0.6,-0.01
21,CGG,0.68,0.72,0.27,0.53,0.7,0.68,0.64,-0.76
19,TGG,0.57,0.75,0.04,0.49,0.78,0.69,0.74,-0.47
24,CGG,0.73,0.75,0.17,0.49,0.52,0.61,0.73,-0.52
20,CGG,0.46,0.93,0.14,0.49,0.54,0.72,0.55,-0.42
18,CGG,0.45,0.78,0.28,0.45,0.58,0.69,0.59,-0.64
19,CGG,0.45,0.92,0.13,0.32,0.77,0.54,0.59,-0.07
23,TGG,0.5,0.82,0.29,0.31,0.82,0.68,0.77,-0.46
24,CGG,0.5,0.81,0.3,0.49,0.75,0.62,0.56,-0.6
24,CGG,0.7,0.71,0.15,0.48,0.48,0.56,0.73,-0.48
21,CGG,0.59,0.74,0.12,0.53,0.56,0.7,0.78,-0.61
21,NGG,0.61,0.85,0.11,0.37,0.45,0.67,0.58,-0.3
23,NGG,0.76,0.75,0.28,0.24,0.73,0.66,0.57,-0.43
21,CGG,0.48,0.91,0.29,0.3,0.65,0.76,0.74,-0.44
23,NGG,0.49,0.84,0.26,0.51,0.82,0.61,0.67,-0.54
20,CGG,0.54,0.86,0.04,0.51,0.83,0.64,0.69,-0.33
17,NGG,0.7,0.81,0.21,0.48,0.46,0.59,0.63,-0.47
20,CGG,0.43,0.93,0.24,0.37,0.83,0.67,0.74,-0.35
23,NAG,0.51,0.79,0.2,0.42,0.71,0.63,0.63,-0.46
22,NAG,0.54,0.74,0.21,0.54,0.44,0.54,0.71,-0.55
21,NGG,0.69,0.8,0.06,0.2,0.49,0.6,0.65,-0.06
19,TGG,0.41,0.83,0.26,0.35,0.59,0.76,0.75,-0.54
20,NGG,0.79,0.94,0.12,0.2,0.89,0.53,0.75,0.09
17,CGG,0.71,0.91,0.11,0.31,0.7,0.74,0.79,-0.25
20,NGG,0.69,0.78,0.12,0.41,0.66,0.59,0.52,-0.34
19,TGG,0.71,0.8,0.14,0.27,0.52,0.77,0.68,-0.38
20,NGG,0.42,0.81,0.05,0.53,0.5,0.65,0.79,-0.42
20,TGG,0.66,0.78,0.08,0.47,0.72,0.69,0.76,-0.46
19,NAG,0.61,0.76,0.16,0.48,0.69,0.75,0.78,-0.63
21,NGG,0.45,0.92,0.29,0.2,0.72,0.68,0.57,-0.25
17,CGG,0.53,0.87,0.12,0.46,0.7,0.55,0.53,-0.26
18,CGG,0.74,0.7,0.29,0.4,0.79,0.64,0.58,-0.63
24,TGG,0.55,0.84,0.07,0.56,0.56,0.69,0.73,-0.48
23,NAG,0.78,0.87,0.01,0.25,0.47,0.62,0.66,-0.01
23,NAG,0.43,0.73,0.26,0.58,0.84,0.67,0.57,-0.78
22,NAG,0.51,0.95,0.05,0.58,0.53,0.59,0.71,-0.27
20,NGG,0.48,0.73,0.1,0.57,0.56,0.59,0.79,-0.53
21,NAG,0.72,0.82,0.03,0.51,0.61,0.7,0.62,-0.42
23,NGG,0.64,0.79,0.16,0.29,0.57,0.7,0.7,-0.36
20,NGG,0.68,0.78,0.19,0.22,0.75,0.72,0.7,-0.35
23,TGG,0.51,0.93,0.2,0.21,0.58,0.5,0.79,0.02
19,TGG,0.67,0.73,0.05,0.54,0.87,0.74,0.76,-0.6
23,NAG,0.42,0.78,0.19,0.57,0.65,0.64,0.68,-0.62
18,TGG,0.5,0.95,0.24,0.43,0.5,0.75,0.62,-0.47
20,TGG,0.6,0.85,0.24,0.44,0.82,0.77,0.65,-0.6
22,NAG,0.4,0.74,0.26,0.5,0.45,0.56,0.69,-0.58
22,CGG,0.45,0.88,0.21,0.41,0.76,0.62,0.62,-0.36
18,TGG,0.47,0.81,0.2,0.22,0.75,0.77,0.79,-0.38
18,TGG,0.56,0.83,0.17,0.49,0.5,0.65,0.7,-0.48
24,TGG,0.8,0.87,0.3,0.25,0.6,0.51,0.57,-0.19
19,NAG,0.65,0.8,0.02,0.55,0.46,0.53,0.6,-0.3
21,TGG,0.8,0.79,0.18,0.27,0.5,0.52,0.54,-0.18
21,NAG,0.72,0.78,0.23,0.23,0.55,0.64,0.59,-0.32
24,TGG,0.62,0.71,0.11,0.46,0.52,0.72,0.67,-0.58
20,NAG,0.68,0.9,0.19,0.3,0.89,0.57,0.68,-0.16
20,CGG,0.71,0.72,0.23,0.33,0.83,0.74,0.51,-0.58
17,TGG,0.62,0.77,0.18,0.32,0.59,0.57,0.58,-0.3
22,NGG,0.7,0.75,0.24,0.57,0.45,0.6,0.61,-0.66
22,NAG,0.49,0.8,0.04,0.26,0.9,0.53,0.75,-0.03
20,CGG,0.71,0.95,0.18,0.28,0.83,0.6,0.77,-0.11
22,NAG,0.68,0.93,0.09,0.43,0.69,0.75,0.5,-0.34
19,NGG,0.46,0.84,0.08,0.2,0.56,0.62,0.73,-0.06
23,TGG,0.79,0.83,0.13,0.56,0.69,0.59,0.63,-0.45
18,CGG,0.45,0.7,0.09,0.52,0.48,0.67,0.59,-0.58
17,CGG,0.43,0.95,0.15,0.58,0.59,0.71,0.54,-0.49
19,NGG,0.61,0.9,0.26,0.41,0.7,0.58,0.7,-0.35
18,TGG,0.72,0.94,0.17,0.48,0.83,0.68,0.52,-0.39
24,CGG,0.64,0.8,0.21,0.3,0.42,0.73,0.8,-0.44
24,TGG,0.73,0.76,0.09,0.31,0.81,0.55,0.53,-0.19
18,TGG,0.51,0.74,0.24,0.33,0.78,0.68,0.58,-0.51
22,CGG,0.68,0.9,0.24,0.22,0.57,0.66,0.54,-0.22
19,NGG,0.68,0.78,0.21,0.58,0.42,0.8,0.74,-0.81
23,CGG,0.72,0.84,0.19,0.42,0.49,0.74,0.8,-0.51
21,TGG,0.48,0.75,0.15,0.33,0.49,0.67,0.57,-0.4
21,TGG,0.7,0.72,0.18,0.56,0.86,0.56,0.79,-0.58
17,TGG,0.59,0.84,0.14,0.23,0.8,0.58,0.51,-0.11
18,TGG,0.57,0.91,0.19,0.37,0.47,0.74,0.79,-0.39
23,NGG,0.78,0.84,0.12,0.45,0.52,0.59,0.66,-0.32
20,CGG,0.72,0.92,0.04,0.52,0.53,0.56,0.75,-0.2
22,NAG,0.68,0.76,0.3,0.31,0.74,0.59,0.58,-0.44
23,TGG,0.52,0.91,0.08,0.23,0.76,0.61,0.6,-0.01
18,CGG,0.58,0.78,0.14,0.2,0.73,0.71,0.77,-0.27
19,TGG,0.56,0.86,0.11,0.57,0.89,0.69,0.79,-0.51
18,TGG,0.68,0.94,0.22,0.39,0.44,0.59,0.78,-0.26
21,NAG,0.75,0.93,0.05,0.38,0.72,0.72,0.71,-0.22
23,NAG,0.44,0.9,0.28,0.24,0.76,0.56,0.54,-0.18
21,NGG,0.65,0.94,0.09,0.24,0.85,0.68,0.58,-0.07
22,NAG,0.49,0.94,0.3,0.4,0.71,0.63,0.65,-0.39
21,CGG,0.6,0.8,0.09,0.51,0.55,0.69,0.72,-0.49
18,NGG,0.44,0.81,0.25,0.5,0.72,0.53,0.53,-0.47
24,TGG,0.73,0.92,0.27,0.52,0.62,0.58,0.5,-0.45
17,TGG,0.55,0.76,0.02,0.37,0.75,0.75,0.54,-0.38
24,CGG,0.46,0.87,0.28,0.21,0.68,0.52,0.73,-0.14
17,CGG,0.62,0.91,0.14,0.55,0.6,0.52,0.6,-0.3
23,NAG,0.44,0.76,0.29,0.44,0.76,0.56,0.52,-0.53
17,CGG,0.47,0.8,0.2,0.52,0.65,0.75,0.69,-0.67
23,TGG,0.77,0.74,0.24,0.31,0.89,0.53,0.67,-0.34
17,CGG,0.63,0.87,0.2,0.56,0.58,0.7,0.59,-0.59
24,CGG,0.78,0.85,0.01,0.34,0.81,0.78,0.71,-0.28
24,NAG,0.41,0.91,0.14,0.24,0.74,0.65,0.69,-0.12
20,NGG,0.45,0.9,0.17,0.22,0.54,0.72,0.74,-0.21
18,TGG,0.66,0.93,0.11,0.33,0.55,0.58,0.67,-0.09
20,TGG,0.65,0.74,0.12,0.36,0.66,0.73,0.73,-0.47
17,NAG,0.46,0.9,0.24,0.56,0.54,0.53,0.62,-0.43
24,TGG,0.48,0.89,0.22,0.46,0.47,0.58,0.77,-0.37
23,NAG,0.71,0.85,0.26,0.48,0.52,0.62,0.76,-0.51
20,TGG,0.45,0.85,0.03,0.24,0.44,0.65,0.72,-0.07
23,TGG,0.64,0.71,0.16,0.44,0.85,0.68,0.54,-0.57
17,NGG,0.69,0.78,0.11,0.26,0.78,0.71,0.69,-0.3
23,NGG,0.52,0.76,0.16,0.37,0.83,0.59,0.52,-0.36
23,NGG,0.69,0.77,0.28,0.24,0.6,0.53,0.58,-0.28
17,NGG,0.79,0.89,0.17,0.29,0.59,0.53,0.69,-0.1
21,CGG,0.63,0.85,0.27,0.41,0.73,0.56,0.74,-0.39
18,NGG,0.66,0.91,0.24,0.43,0.88,0.56,0.76,-0.32
22,NAG,0.54,0.9,0.05,0.57,0.69,0.8,0.74,-0.52
21,NGG,0.7,0.82,0.03,0.56,0.71,0.68,0.8,-0.45
24,CGG,0.65,0.75,0.03,0.28,0.63,0.66,0.78,-0.22
21,NAG,0.63,0.71,0.19,0.36,0.51,0.61,0.57,-0.45
17,NAG,0.78,0.85,0.21,0.25,0.54,0.56,0.55,-0.17
18,TGG,0.4,0.81,0.15,0.29,0.69,0.79,0.71,-0.42
20,CGG,0.62,0.84,0.22,0.49,0.71,0.71,0.66,-0.58
22,NAG,0.74,0.71,0.15,0.52,0.47,0.61,0.76,-0.57
22,NAG,0.46,0.85,0.27,0.4,0.48,0.64,0.71,-0.46
24,TGG,0.4,0.77,0.29,0.48,0.65,0.56,0.61,-0.56
20,CGG,0.71,0.88,0.09,0.57,0.63,0.63,0.73,-0.41
23,CGG,0.65,0.78,0.1,0.56,0.87,0.52,0.65,-0.4
17,TGG,0.58,0.86,0.24,0.39,0.65,0.67,0.74,-0.44
17,NAG,0.69,0.75,0.24,0.46,0.83,0.68,0.76,-0.63
17,CGG,0.56,0.89,0.14,0.52,0.48,0.58,0.58,-0.35
23,TGG,0.66,0.81,0.1,0.28,0.66,0.69,0.74,-0.26
21,NAG,0.58,0.8,0.02,0.54,0.74,0.69,0.77,-0.45
20,NGG,0.54,0.91,0.18,0.39,0.77,0.5,0.71,-0.16
18,TGG,0.63,0.75,0.08,0.24,0.75,0.64,0.57,-0.21
22,NGG,0.69,0.77,0.25,0.33,0.82,0.7,0.53,-0.51
17,NGG,0.48,0.71,0.14,0.45,0.44,0.71,0.65,-0.59
17,TGG,0.63,0.95,0.04,0.47,0.82,0.63,0.52,-0.19
19,TGG,0.43,0.93,0.14,0.49,0.4,0.7,0.54,-0.4
20,TGG,0.45,0.85,0.06,0.26,0.83,0.71,0.59,-0.18
20,CGG,0.59,0.87,0.17,0.42,0.81,0.8,0.77,-0.52
22,CGG,0.74,0.82,0.12,0.26,0.46,0.62,0.72,-0.18
17,TGG,0.5,0.78,0.0,0.58,0.64,0.71,0.72,-0.51
21,NGG,0.4,0.93,0.09,0.23,0.83,0.6,0.58,0.01
23,CGG,0.47,0.7,0.16,0.3,0.72,0.77,0.54,-0.53
23,CGG,0.61,0.71,0.09,0.25,0.62,0.57,0.63,-0.2
22,NAG,0.56,0.78,0.08,0.2,0.53,0.78,0.55,-0.28
17,CGG,0.5,0.86,0.1,0.37,0.42,0.54,0.79,-0.15
22,NAG,0.47,0.76,0.17,0.5,0.45,0.59,0.59,-0.5
17,NAG,0.41,0.75,0.01,0.33,0.43,0.56,0.7,-0.15
19,TGG,0.5,0.94,0.04,0.57,0.45,0.61,0.76,-0.28
17,NAG,0.77,0.73,0.25,0.53,0.52,0.73,0.65,-0.78
20,NGG,0.47,0.9,0.24,0.49,0.58,0.79,0.57,-0.62
17,CGG,0.8,0.92,0.23,0.2,0.82,0.79,0.5,-0.3
20,NGG,0.58,0.76,0.28,0.27,0.6,0.73,0.73,-0.52
19,NAG,0.65,0.79,0.05,0.39,0.43,0.55,0.7,-0.2
23,NAG,0.54,0.93,0.13,0.43,0.77,0.67,0.78,-0.3
24,NGG,0.77,0.71,0.14,0.24,0.58,0.76,0.76,-0.43
23,CGG,0.47,0.91,0.16,0.53,0.82,0.72,0.53,-0.5
23,CGG,0.5,0.86,0.18,0.54,0.41,0.69,0.65,-0.55
21,CGG,0.45,0.93,0.17,0.37,0.76,0.71,0.57,-0.32
17,CGG,0.49,0.91,0.09,0.28,0.75,0.66,0.51,-0.12
17,NAG,0.74,0.71,0.13,0.36,0.66,0.75,0.58,-0.53
20,TGG,0.58,0.93,0.17,0.37,0.7,0.66,0.67,-0.27
18,NAG,0.7,0.87,0.07,0.51,0.7,0.69,0.75,-0.4
22,CGG,0.63,0.78,0.0,0.54,0.79,0.75,0.78,-0.51
24,NAG,0.69,0.71,0.02,0.54,0.41,0.65,0.62,-0.5
23,NAG,0.42,0.8,0.2,0.45,0.64,0.75,0.53,-0.6
23,CGG,0.78,0.87,0.07,0.25,0.42,0.67,0.66,-0.12
22,NGG,0.79,0.91,0.11,0.55,0.44,0.62,0.55,-0.37
23,CGG,0.77,0.9,0.27,0.46,0.69,0.7,0.77,-0.53
19,TGG,0.56,0.74,0.19,0.23,0.73,0.69,0.63,-0.37
24,NGG,0.63,0.89,0.15,0.27,0.63,0.67,0.59,-0.2
24,NAG,0.78,0.7,0.13,0.48,0.76,0.65,0.54,-0.56
20,TGG,0.74,0.79,0.08,0.57,0.52,0.73,0.61,-0.59
21,TGG,0.72,0.83,0.2,0.36,0.85,0.5,0.66,-0.23
22,NAG,0.42,0.87,0.04,0.59,0.8,0.74,0.69,-0.5
22,NGG,0.6,0.81,0.22,0.25,0.84,0.59,0.61,-0.25
24,NAG,0.51,0.79,0.16,0.54,0.65,0.64,0.63,-0.55
17,CGG,0.41,0.94,0.2,0.2,0.55,0.66,0.8,-0.12
23,TGG,0.63,0.7,0.02,0.22,0.43,0.79,0.69,-0.33
18,NGG,0.71,0.81,0.22,0.35,0.82,0.72,0.62,-0.48
19,NAG,0.74,0.92,0.18,0.28,0.46,0.78,0.67,-0.32
17,NGG,0.62,0.8,0.14,0.25,0.52,0.54,0.55,-0.13
19,CGG,0.79,0.85,0.19,0.3,0.82,0.69,0.66,-0.33
21,NAG,0.67,0.78,0.0,0.37,0.68,0.55,0.74,-0.14
18,NGG,0.57,0.86,0.13,0.5,0.41,0.66,0.62,-0.43
18,CGG,0.7,0.81,0.13,0.39,0.84,0.58,0.54,-0.29
17,NGG,0.67,0.94,0.18,0.34,0.88,0.74,0.72,-0.32
19,NGG,0.74,0.78,0.06,0.53,0.78,0.74,0.69,-0.55
18,NGG,0.8,0.75,0.03,0.33,0.87,0.64,0.74,-0.25
17,CGG,0.55,0.75,0.24,0.3,0.58,0.79,0.74,-0.58
17,TGG,0.61,0.91,0.03,0.59,0.86,0.77,0.55,-0.48
17,CGG,0.65,0.83,0.09,0.39,0.89,0.61,0.75,-0.26
24,NGG,0.5,0.73,0.05,0.25,0.86,0.63,0.62,-0.2
20,CGG,0.48,0.72,0.16,0.56,0.46,0.8,0.54,-0.8
19,NGG,0.52,0.93,0.02,0.54,0.63,0.52,0.76,-0.15
22,TGG,0.68,0.73,0.28,0.28,0.73,0.7,0.56,-0.53
22,TGG,0.8,0.86,0.05,0.36,0.81,0.64,0.69,-0.19
23,NGG,0.41,0.89,0.25,0.47,0.45,0.52,0.62,-0.35
21,NGG,0.45,0.85,0.24,0.22,0.53,0.64,0.61,-0.25
22,NGG,0.41,0.76,0.06,0.2,0.46,0.58,0.72,-0.08
23,NAG,0.63,0.83,0.19,0.35,0.89,0.65,0.59,-0.36
22,TGG,0.77,0.86,0.3,0.22,0.82,0.73,0.75,-0.39
20,CGG,0.54,0.88,0.2,0.52,0.52,0.7,0.73,-0.54
20,NGG,0.41,0.9,0.06,0.41,0.73,0.53,0.62,-0.1
20,CGG,0.78,0.86,0.06,0.3,0.61,0.66,0.61,-0.16
17,CGG,0.64,0.81,0.1,0.47,0.65,0.77,0.6,-0.53
17,TGG,0.51,0.78,0.05,0.27,0.44,0.63,0.63,-0.17
24,CGG,0.67,0.71,0.04,0.37,0.7,0.69,0.52,-0.39
21,TGG,0.69,0.89,0.0,0.2,0.6,0.75,0.79,-0.06
19,TGG,0.5,0.75,0.13,0.55,0.75,0.71,0.6,-0.64
24,NAG,0.62,0.84,0.1,0.3,0.76,0.62,0.52,-0.18
23,TGG,0.75,0.89,0.05,0.57,0.77,0.79,0.72,-0.52
24,CGG,0.45,0.83,0.2,0.59,0.51,0.52,0.5,-0.48
20,NGG,0.71,0.77,0.06,0.31,0.9,0.62,0.54,-0.22
23,NAG,0.41,0.88,0.22,0.28,0.88,0.66,0.61,-0.28
21,CGG,0.51,0.91,0.09,0.53,0.63,0.66,0.55,-0.37
22,NGG,0.56,0.8,0.22,0.37,0.41,0.66,0.52,-0.45
21,TGG,0.49,0.83,0.04,0.45,0.71,0.63,0.68,-0.29
18,CGG,0.76,0.86,0.05,0.51,0.45,0.6,0.64,-0.3
19,NAG,0.67,0.89,0.07,0.49,0.43,0.54,0.73,-0.21
24,CGG,0.48,0.77,0.15,0.27,0.7,0.68,0.69,-0.33
24,CGG,0.58,0.91,0.15,0.42,0.88,0.79,0.68,-0.45
24,NAG,0.78,0.93,0.21,0.21,0.79,0.65,0.63,-0.14
21,NGG,0.44,0.95,0.26,0.3,0.84,0.73,0.52,-0.34
18,TGG,0.49,0.9,0.24,0.27,0.88,0.77,0.57,-0.38
18,NAG,0.6,0.88,0.27,0.47,0.64,0.53,0.66,-0.39
18,NAG,0.62,0.79,0.28,0.27,0.74,0.72,0.53,-0.48
17,NAG,0.45,0.9,0.23,0.45,0.55,0.72,0.8,-0.5
19,NAG,0.61,0.88,0.13,0.32,0.47,0.75,0.77,-0.32
18,TGG,0.52,0.79,0.01,0.47,0.83,0.78,0.61,-0.47
17,NGG,0.48,0.8,0.16,0.25,0.69,0.53,0.57,-0.14
23,TGG,0.72,0.82,0.23,0.45,0.57,0.57,0.75,-0.43
21,NAG,0.42,0.71,0.28,0.32,0.48,0.52,0.73,-0.41
19,NAG,0.72,0.84,0.15,0.52,0.87,0.64,0.77,-0.47
17,NGG,0.41,0.76,0.03,0.34,0.87,0.58,0.65,-0.19
19,CGG,0.59,0.75,0.11,0.51,0.74,0.63,0.54,-0.5
23,CGG,0.54,0.89,0.3,0.37,0.54,0.58,0.79,-0.36
23,TGG,0.5,0.77,0.11,0.55,0.79,0.53,0.73,-0.42
17,NGG,0.77,0.83,0.09,0.31,0.67,0.62,0.78,-0.19
19,NGG,0.65,0.76,0.01,0.26,0.58,0.54,0.57,-0.05
19,CGG,0.57,0.95,0.01,0.56,0.51,0.79,0.79,-0.41
20,TGG,0.59,0.92,0.29,0.22,0.71,0.68,0.52,-0.27
17,NGG,0.7,0.72,0.01,0.21,0.75,0.66,0.64,-0.16
18,NAG,0.59,0.84,0.28,0.24,0.65,0.67,0.68,-0.35
19,CGG,0.75,0.85,0.15,0.53,0.78,0.59,0.53,-0.42
19,TGG,0.57,0.94,0.07,0.25,0.62,0.79,0.79,-0.17
18,CGG,0.62,0.74,0.29,0.28,0.8,0.74,0.63,-0.57
21,NGG,0.6,0.89,0.27,0.42,0.45,0.52,0.6,-0.32
21,NGG,0.42,0.88,0.08,0.36,0.68,0.59,0.65,-0.15
22,NAG,0.5,0.81,0.21,0.33,0.79,0.7,0.68,-0.43
19,CGG,0.47,0.91,0.23,0.2,0.88,0.74,0.74,-0.26
17,TGG,0.72,0.81,0.22,0.32,0.4,0.74,0.72,-0.47
20,TGG,0.48,0.72,0.05,0.46,0.81,0.62,0.58,-0.41
22,NGG,0.63,0.95,0.11,0.46,0.61,0.53,0.78,-0.15
19,NAG,0.6,0.77,0.19,0.28,0.69,0.75,0.56,-0.45
20,NAG,0.43,0.83,0.03,0.34,0.48,0.72,0.73,-0.26
24,TGG,0.47,0.91,0.23,0.5,0.41,0.68,0.69,-0.5
20,TGG,0.5,0.78,0.26,0.47,0.51,0.66,0.51,-0.61
18,CGG,0.56,0.75,0.12,0.2,0.79,0.61,0.65,-0.18
21,NAG,0.43,0.71,0.03,0.41,0.81,0.51,0.79,-0.24
